index,Accuracy,Precision,DiceSimilarityCoefficient,IntersectionOverUnion,HausdorffDistance,TruePositive,TrueNegative,FalsePositive,FalseNegative,AUC,TruePositive_nor,TrueNegative_nor,FalsePositive_nor,FalseNegative_nor
0,0.990069,0.834552,0.838441,0.721824,4.690416,5937,222175,1177,1111,0.918548,2.577 ,96.430 ,0.511 ,0.482 
1,0.981319,0.775302,0.820142,0.695119,8.246211,9813,216283,2844,1460,0.928754,4.259 ,93.873 ,1.234 ,0.634 
2,0.959579,0.81863,0.835083,0.716861,11,23579,197508,5224,4089,0.913222,10.234 ,85.724 ,2.267 ,1.775 
3,0.971233,0.802935,0.824721,0.701724,8.602325,15593,208179,3827,2801,0.914835,6.768 ,90.355 ,1.661 ,1.216 
4,0.959366,0.854109,0.771067,0.627428,11.7047,15766,205272,2693,6669,0.844896,6.843 ,89.094 ,1.169 ,2.895 
5,0.97684,0.867326,0.840335,0.724636,6.78233,14042,211022,2148,3188,0.902449,6.095 ,91.589 ,0.932 ,1.384 
6,0.978043,0.826004,0.804453,0.672874,8.246211,10406,214935,2192,2867,0.886951,4.516 ,93.288 ,0.951 ,1.244 
7,0.980512,0.858899,0.826426,0.704197,8,10689,215221,1756,2734,0.894113,4.639 ,93.412 ,0.762 ,1.187 
8,0.975126,0.832419,0.834225,0.715597,7.348469,14420,210249,2903,2828,0.91121,6.259 ,91.254 ,1.260 ,1.227 
9,0.970339,0.800916,0.799601,0.666113,8.3666,13634,209932,3389,3445,0.891202,5.918 ,91.116 ,1.471 ,1.495 
10,0.984058,0.79759,0.822996,0.69923,8.3666,8539,218188,2167,1506,0.92012,3.706 ,94.700 ,0.941 ,0.654 
11,0.980881,0.811594,0.814768,0.687433,7.141428,9688,216307,2249,2156,0.903838,4.205 ,93.883 ,0.976 ,0.936 
12,0.975313,0.846168,0.827542,0.705818,7.071068,13647,211065,2481,3207,0.89905,5.923 ,91.608 ,1.077 ,1.392 
13,0.965872,0.861876,0.86324,0.759387,8.246211,24816,197721,3977,3886,0.922446,10.771 ,85.816 ,1.726 ,1.687 
14,0.981645,0.842078,0.822378,0.698338,5,9790,216381,1836,2393,0.897583,4.249 ,93.915 ,0.797 ,1.039 
15,0.983898,0.828351,0.826099,0.703721,5.830952,8812,217878,1826,1884,0.907774,3.825 ,94.565 ,0.793 ,0.818 
16,0.980599,0.843497,0.823515,0.69998,5.744563,10429,215501,1935,2535,0.89778,4.526 ,93.533 ,0.840 ,1.100 
17,0.982982,0.843223,0.822667,0.698755,4.795832,9095,217384,1691,2230,0.897686,3.947 ,94.351 ,0.734 ,0.968 
18,0.985304,0.777441,0.769283,0.625069,6.63325,5645,221369,1616,1770,0.877024,2.450 ,96.080 ,0.701 ,0.768 
19,0.984531,0.814407,0.797569,0.663297,4.690416,7021,219815,1600,1964,0.887094,3.047 ,95.406 ,0.694 ,0.852 
20,0.984731,0.854794,0.813922,0.686229,6,7694,219188,1307,2211,0.885426,3.339 ,95.134 ,0.567 ,0.960 
21,0.975252,0.775444,0.728295,0.572692,7.681146,7642,217056,2213,3489,0.838229,3.317 ,94.208 ,0.961 ,1.514 
22,0.984627,0.84476,0.76543,0.619998,6.403124,5779,221079,1062,2480,0.84747,2.508 ,95.954 ,0.461 ,1.076 
23,0.975582,0.81976,0.704424,0.543715,6.244998,6704,218070,1474,4152,0.805412,2.910 ,94.648 ,0.640 ,1.802 
24,0.970052,0.856676,0.868706,0.767888,7.745967,22827,200673,3819,3081,0.931202,9.908 ,87.098 ,1.658 ,1.337 
25,0.971979,0.848349,0.870968,0.771429,8.306624,21789,202155,3895,2561,0.937961,9.457 ,87.741 ,1.691 ,1.112 
26,0.968064,0.823783,0.848744,0.737233,8.888194,20644,202398,4416,2942,0.926956,8.960 ,87.846 ,1.917 ,1.277 
27,0.972522,0.841801,0.863241,0.759387,7.745967,19981,204088,3755,2576,0.933867,8.672 ,88.580 ,1.630 ,1.118 
28,0.970933,0.833978,0.845467,0.732302,7.937254,18320,205383,3647,3050,0.919915,7.951 ,89.142 ,1.583 ,1.324 
29,0.971497,0.847558,0.855591,0.747627,7.874008,19454,204379,3499,3068,0.923473,8.444 ,88.706 ,1.519 ,1.332 
30,0.9702,0.828757,0.852045,0.742229,9.899495,19770,203764,4085,2781,0.928513,8.581 ,88.439 ,1.773 ,1.207 
31,0.974514,0.826253,0.841263,0.726017,7.937254,15560,208968,3272,2600,0.920706,6.753 ,90.698 ,1.420 ,1.128 
32,0.973641,0.811887,0.833026,0.713835,7.615773,15149,209178,3510,2563,0.919396,6.575 ,90.789 ,1.523 ,1.112 
33,0.959735,0.806479,0.827382,0.705586,11.789826,22233,198890,5335,3942,0.911638,9.650 ,86.324 ,2.316 ,1.711 
34,0.974505,0.755568,0.763831,0.617902,9.848858,9499,215027,3073,2801,0.879093,4.123 ,93.328 ,1.334 ,1.216 
35,0.978016,0.854139,0.854458,0.745899,7.416198,14868,210467,2539,2526,0.921429,6.453 ,91.349 ,1.102 ,1.096 
36,0.966723,0.852635,0.856232,0.748606,8.831761,22831,199902,3946,3721,0.920251,9.909 ,86.763 ,1.713 ,1.615 
37,0.967465,0.829173,0.842389,0.727695,8.3666,20032,202872,4127,3369,0.918047,8.694 ,88.052 ,1.791 ,1.462 
38,0.961623,0.854993,0.820182,0.695177,11.7047,20165,201393,3420,5422,0.885699,8.752 ,87.410 ,1.484 ,2.353 
39,0.971376,0.86907,0.86677,0.764867,8.602325,21453,202352,3232,3363,0.924381,9.311 ,87.826 ,1.403 ,1.460 
40,0.970208,0.834261,0.833938,0.715175,9.643651,17235,206301,3424,3440,0.908645,7.480 ,89.540 ,1.486 ,1.493 
41,0.970638,0.882095,0.857426,0.750433,7.681146,20342,203293,2719,4046,0.91045,8.829 ,88.235 ,1.180 ,1.756 
42,0.963598,0.795011,0.739218,0.586317,13.114877,11887,210126,3065,5322,0.838183,5.159 ,91.201 ,1.330 ,2.310 
43,0.961528,0.85994,0.846834,0.734356,11.357817,24504,197032,3991,4873,0.907134,10.635 ,85.517 ,1.732 ,2.115 
44,0.955213,0.806008,0.796152,0.661339,11.661904,20151,199930,4850,5469,0.881425,8.746 ,86.775 ,2.105 ,2.374 
45,0.961345,0.769487,0.786222,0.647747,10.630146,16377,205117,4906,4000,0.89017,7.108 ,89.026 ,2.129 ,1.736 
46,0.970061,0.790921,0.787361,0.649296,11.224972,12771,210731,3376,3522,0.884033,5.543 ,91.463 ,1.465 ,1.529 
47,0.974453,0.843695,0.83827,0.72157,11.61895,15254,209260,2826,3060,0.909795,6.621 ,90.825 ,1.227 ,1.328 
48,0.979145,0.874597,0.889002,0.800183,10.908712,19242,206353,2759,2046,0.945348,8.352 ,89.563 ,1.197 ,0.888 
49,0.949527,0.842705,0.838672,0.722166,12.569805,30227,188544,5642,5987,0.902811,13.119 ,81.833 ,2.449 ,2.599 
